100	0.428267835
200	0.428267835
300	0.424267835
400	0.184267835
500	0.168267835
600	0.352267835
700	0.168267835
800	0.072267835
900	0.064267835
1000	0.236267835
1100	0.112267835
1200	0.220267835
1300	0.260267835
1400	0.072267835
1500	0.108267835
1600	0.104267835
1700	0.160267835
1800	0.360267835
1900	0.212267835
2000	0.428267835
2100	0.092267835
2200	0.080267835
2300	0.072267835
2400	0.064267835
2500	0.164267835
2600	0.064267835
2700	0.084267835
2800	0.148267835
2900	0.052267835
3000	0.160267835
3100	0.196267835
3200	0.116267835
3300	0.056267835
3400	0.152267835
3500	0.148267835
3600	0.072267835
3700	0.116267835
3800	0.052267835
3900	0.092267835
4000	0.144267835
4100	0.052267835
4200	0.064267835
4300	0.060267835
4400	0.072267835
4500	0.060267835
4600	0.044267835
4700	0.060267835
4800	0.064267835
4900	0.056267835
5000	0.052267835
