100	0
200	0
300	0.004
400	0.244
500	0.26
600	0.076
700	0.26
800	0.356
900	0.364
1000	0.192
1100	0.316
1200	0.208
1300	0.168
1400	0.356
1500	0.32
1600	0.324
1700	0.268
1800	0.068
1900	0.216
2000	0
2100	0.336
2200	0.348
2300	0.356
2400	0.364
2500	0.264
2600	0.364
2700	0.344
2800	0.28
2900	0.376
3000	0.268
3100	0.232
3200	0.312
3300	0.372
3400	0.276
3500	0.28
3600	0.356
3700	0.312
3800	0.376
3900	0.336
4000	0.284
4100	0.376
4200	0.364
4300	0.368
4400	0.356
4500	0.368
4600	0.384
4700	0.368
4800	0.364
4900	0.372
5000	0.376
